sample,treatment,total_weight,wet_weight_duckweed,MC_ppb,water_added_uL,MC,,,,empty tube weight
25_a1,M_Y_H,1.0035,0.0254,0.31,300,3.659167739,,,,0.9781
25_a2,M_N_H,1.0115,0.0334,0.133,300,1.198256815,,,,
25_a3,DR_Y_H,1.0156,0.0375,0.282,300,2.259169353,,,,
25_a4,DR_N_H,1.006,0.0279,0.147,300,1.581997012,,,,
25_a5,UM_Y_H,1.0118,0.0337,0.191,300,1.702375554,,,,
25_a6,UM_N_H,1.0144,0.0363,0.281,300,2.325707492,,,,
25_b1,M_Y_KF,1.0034,0.0253,0.194,300,2.303548066,,,,
25_b2,M_N_KF,1.0076,0.0295,0.107,300,1.084677603,,,,
25_b3,DR_Y_KF,1.0046,0.0265,0.289,300,3.276140765,,,,
25_b4,DR_N_KF,1.0074,0.0293,0.159,300,1.6268432,,,,
25_b5,UM_Y_KF,0.9958,0.0177,0.292,300,4.956671962,,,,
25_b6,UM_N_KF,1.0077,0.0296,0.11,300,1.119474914,,,,
25_c1,M_Y_N,1.0054,0.0273,0.192,300,2.108827066,,,,
25_c2,M_N_N,0.9803,0.0022,0.122,300,16.69838201,,,,
25_c3,DR_Y_N,0.9992,0.0211,0.505,300,7.186228416,,,,
25_c4,DR_N_N,0.9961,0.018,0.126,300,2.098801078,,,,
25_c5,UM_Y_N,1.0065,0.0284,0.672,300,7.099205501,,,,
25_c6,UM_N_N,0.9934,0.0153,0.116,300,2.282389334,,,,
25_d1,M_Y_ODR,1.0028,0.0247,0.311,300,3.782653755,,,,
25_d2,M_N_ODR,0.9996,0.0215,0.191,300,2.668374706,,,,
25_d3,DR_Y_ODR,1.0051,0.027,0.241,300,2.680964379,,,,
25_d4,DR_N_ODR,1.0049,0.0268,0.259,300,2.896588424,,,,
26_d4,UM_Y_ODR,1.0166,0.0385,0.282,300,2.196646419,,,,
25_d6,UM_N_ODR,0.9889,0.0108,0.158,300,4.398162003,,,,
26_a1,LR_N_ODR,1.0054,0.0273,0.201,300,2.206883318,,,,
26_a2,LR_Y_ODR,1.0019,0.0238,0.246,300,3.095063367,,,,
26_a3,W_Y_ODR,1.003,0.0249,0.362,300,4.360966658,,,,
26_a4,W_N_ODR,0.9971,0.019,0.094,300,1.490140535,,,,
26_a5,TF_N_ODR,1.018,0.0399,0.172,300,1.290160898,,,,
26_a6,TF_Y_ODR,0.9944,0.0163,0.282,300,5.197475506,,,,
26_b1,LR_N_N,0.9882,0.0101,0.136,300,4.039483741,,,,
26_b2,LR_Y_N,0.9946,0.0165,0.438,300,7.962466825,,,,
26_b3,W_Y_N,0.9859,0.0078,0.533,300,20.48632001,,,,
26_b4,W_N_N,0.9877,0.0096,0.093,300,2.908280163,,,,
26_b5,TF_N_N,0.9954,0.0173,0.145,300,2.507102355,,,,
26_b6,TF_Y_N,0.9952,0.0171,0.552,300,9.677113463,,,,
26_c1,LR_N_KF,0.9845,0.0064,0.092,300,4.332023685,,,,
26_c2,LR_Y_KF,0.9905,0.0124,0.233,300,5.627176858,,,,
26_c3,W_Y_KF,1.0013,0.0232,0.503,300,6.501566056,,,,
26_c4,W_N_KF,1.0001,0.022,0.129,300,1.753602419,,,,
26_c5,TF_N_KF,1.0003,0.0222,0.047,300,0.640494056,,,,
26_c6,TF_Y_KF,1.014,0.0359,0.157,300,1.309319128,,,,
26_d1,LR_N_H,1.0181,0.04,0.089,300,0.666974266,,,,
26_d2,LR_Y_H,1.0049,0.0268,0.394,300,4.414145261,,,,
26_d3,W_Y_H,1.0054,0.0273,0.353,300,3.874645062,,,,
26_d4,W_N_H,1.0036,0.0255,0.122,300,1.433109531,,,,
26_d5,TF_N_H,1.0035,0.0254,0.13,300,1.537567838,,,,
26_d6,TF_Y_H,1.0097,0.0316,0.637,300,6.043753644,,,,
27_a1,UM_Y_N,1.0042,0.0261,0.647,300,7.433371759,,,,
27_a2,UM_N_N,1.0042,0.0261,0.07,300,0.808723121,,,,
27_a3,M_N_N,0.9894,0.0113,0.059,300,1.554709078,,,,
27_a4,M_Y_N,0.9967,0.0186,0.701,300,11.30407967,,,,
27_a5,TF_Y_N,1.0066,0.0285,0.443,300,4.666603539,,,,
27_a6,TF_N_N,0.9998,0.0217,0.084,300,1.166632989,,,,
27_b1,UM_Y_KF,1.0177,0.0396,0.321,300,2.434800638,,,,
27_b2,UM_N_KF,1.0158,0.0377,0.057,300,0.453147425,,,,
27_b3,M_N_KF,0.9993,0.0212,0.109,300,1.549438594,,,,
27_b4,M_Y_KF,1.0003,0.0222,0.192,300,2.588758096,,,,
27_b5,TF_Y_KF,1.0031,0.025,0.261,300,3.132401499,,,,
27_b6,TF_N_KF,1.0155,0.0374,0.063,300,0.50907031,,,,
27_c1,UM_Y_ODR,1.017,0.0389,0.446,300,3.436953631,,,,
27_c2,UM_N_ODR,0.9894,0.0113,0.075,300,1.98231964,,,,
27_c3,M_N_ODR,0.9937,0.0156,0.102,300,1.970321942,,,,
27_c4,M_Y_ODR,0.9952,0.0171,0.236,300,4.137990555,,,,
27_c5,TF_Y_ODR,1.0027,0.0246,0.482,300,5.879640748,,,,
27_c6,TF_N_ODR,1.0125,0.0344,0.093,300,0.813033052,,,,
27_d1,UM_Y_H,1.0045,0.0264,0.316,300,3.595192434,,,,
27_d2,UM_N_H,0.9912,0.0131,0.094,300,2.149968147,,,,
27_d3,M_N_H,1.0078,0.0297,0.081,300,0.817367699,,,,
27_d4,M_Y_H,0.9998,0.0217,0.311,300,4.298081437,,,,
27_d5,TF_Y_H,0.9931,0.015,0.424,300,8.487411747,,,,
27_d6,TF_N_H,1.0043,0.0262,0.213,300,2.440352077,,,,
28_a1,DR_Y_KF,1.0137,0.0356,0.41108685,300,3.464215025,,,,
28_a2,DR_N_KF,1.0052,0.0271,0.080754652,300,0.893962936,,,,
28_a3,W_Y_KF,1.0028,0.0247,0.331074712,300,4.021150349,,,,
28_a4,W_N_KF,0.9974,0.0193,0.065550866,300,1.018925375,,,,
28_a5,LR_N_KF,1.0055,0.0274,0.077714592,300,0.850889691,,,,
28_a6,LR_Y_KF,1.0035,0.0254,0.382972393,300,4.523295986,,,,
28_b1,DR_Y_ODR,0.9976,0.0195,0.35607931,300,5.478143228,,,,
28_b2,DR_N_ODR,1.0038,0.0257,0.065679985,300,0.766692435,,,,
28_b3,W_Y_ODR,1.0023,0.0242,0.414335401,300,5.136389271,,,,
28_b4,W_N_ODR,0.9824,0.0043,0.081955321,300,5.717813106,,,,
28_b5,LR_N_ODR,0.9998,0.0217,0.150688561,300,2.083251996,,,,
28_b6,LR_Y_ODR,1.0071,0.029,0.216223061,300,2.236790289,,,,
28_c1,DR_Y_H,0.9946,0.0165,0.188213904,300,3.42207098,,,,
28_c2,DR_N_H,0.9999,0.0218,0.070086653,300,0.964495221,,,,
28_c3,W_Y_H,0.9972,0.0191,0.509933861,300,8.009432371,,,,
28_c4,W_N_H,0.9937,0.0156,0.063706908,300,1.22513284,,,,
28_c5,LR_N_H,0.9963,0.0182,0.060827937,300,1.002658305,,,,
28_c6,LR_Y_H,1.0099,0.0318,0.309344085,300,2.918340425,,,,
28_d1,DR_Y_N,1.0157,0.0376,0.6313054,300,5.037011167,,,,
