plate,well_id,treatment,day0_area_mm,day1_area_mm,day2_area_mm,day3_area_mm,day4_area_mm,day5_area_mm,day6_area_mm,day7_area_mm,day8_area_mm,day9_area_mm,day10_area_mm,RGR,PG,0.046
36,d6,W_Y_N,13.11,,,,,,,,,,0,NA,NA,
7,d6,M_N_ODR,88.803,,,,,,,,,,163.3,4.646946957,0.838901839,
6,b6,DR_N_N,317.423,,,,,,,,,,648.991,5.899395322,1.044561988,
17,c5,W_N_N,297.367,,,,,,,,,,613.686,5.84998669,1.063732694,
35,a5,UM_N_N,214.636,,,,,,,,,,449.535,5.571319358,1.094406344,
4,c3,W_N_N,275.103,,,,,,,,,,589.375,5.817348096,1.1423794,
4,b6,DR_N_KF,325.266,,,,,,,,,,696.946,5.968243602,1.142695517,
31,b2,DR_N_KF,175.237,,,,,,,,,,382.398,5.429848017,1.182176139,
4,c6,DR_N_N,209.875,,,,,,,,,,458.528,5.593370147,1.184767123,
7,b1,W_Y_KF,160.241,,,,,,,,,,352.682,5.357898908,1.200947323,
25,c4,DR_N_N,204.217,,,,,,,,,,455.469,5.589409342,1.23031873,
8,d6,LR_N_KF,149.063,,,,,,,,,,339.94,5.328332228,1.280512267,
20,a4,W_N_N,292.146,,,,,,,,,,666.609,5.934478299,1.281766651,
16,c1,W_N_KF,173.006,,,,,,,,,,397.279,5.469306177,1.296330763,
22,b4,DR_N_N,264.546,,,,,,,,,,618.309,5.869186818,1.337245696,
26,b1,LR_N_N,192.763,,,,,,,,,,454.296,5.592602822,1.356759337,
34,c3,DR_N_N,206.862,,,,,,,,,,490.268,5.66174699,1.370024461,
12,b3,TF_N_N,239.867,,,,,,,,,,575.345,5.806961401,1.398600058,
10,c3,DR_Y_N,296.263,,,,,,,,,,713.069,6.000453433,1.406878348,
18,c4,M_N_N,132.894,,,,,,,,,,321.08,5.282735131,1.416060921,
10,c4,DR_N_N,234.163,,,,,,,,,,566.444,5.793776478,1.419015814,
26,c2,LR_Y_KF,97.658,,,,,,,,,,242.995,5.891089731,1.488224211,
7,a2,W_N_N,225.538,,,,,,,,,,569.595,5.803076716,1.525494595,
5,b4,W_N_N,157.044,,,,,,,,,,397.785,5.480259056,1.532952548,
22,b1,M_N_N,247.25,,,,,,,,,,631.028,5.896310239,1.552186047,
21,b5,TF_Y_N,322.391,,,,,,,,,,825.631,6.138571433,1.560961689,
38,c1,DR_N_N,224.917,,,,,,,,,,581.785,5.824527819,1.586665303,
32,a3,TF_N_N,228.091,,,,,,,,,,594.987,5.845565089,1.608550973,
26,b4,W_N_N,206.609,,,,,,,,,,546.273,5.770036039,1.643994211,
9,d2,W_N_N,218.615,,,,,,,,,,580.635,5.825391113,1.655970542,
21,b3,UM_N_N,248.262,,,,,,,,,,667.506,5.952099915,1.688715953,
4,c4,W_Y_N,213.785,,,,,,,,,,578.174,5.823377778,1.704464766,
28,d2,DR_N_N,229.172,,,,,,,,,,620.425,5.886957446,1.707246086,
19,c1,DR_Y_N,232.967,,,,,,,,,,635.996,5.910102593,1.729983217,
31,a2,DR_N_N,190.716,,,,,,,,,,521.778,5.732163669,1.735890014,
37,c2,LR_N_N,139.955,,,,,,,,,,385.043,5.459222922,1.751191454,
34,d5,TF_N_KF,125.787,,,,,,,,,,346.564,5.364608506,1.755165478,
23,a5,DR_N_N,165.439,,,,,,,,,,457.056,5.613945667,1.762685945,
33,c2,W_N_N,216.246,,,,,,,,,,601.036,5.861013168,1.779408636,
20,b1,UM_Y_KF,181.861,,,,,,,,,,510.6,5.715262239,1.807638801,
31,b6,W_N_KF,178.434,,,,,,,,,,501.101,5.698385799,1.808326888,
8,c4,DR_N_H,241.086,,,,,,,,,,680.938,5.974955888,1.824460981,
40,a5,DR_N_N,210.151,,,,,,,,,,597.379,5.857769121,1.842617927,
29,d1,W_N_N,214.015,,,,,,,,,,609.638,5.876260728,1.848576034,
21,b6,TF_N_N,306.521,,,,,,,,,,874.713,6.201367206,1.853680498,
38,d5,W_N_KF,241.661,,,,,,,,,,695.796,5.996302922,1.879223375,
36,d5,W_N_N,315.238,,,,,,,,,,910.846,6.239041047,1.889391507,
14,c6,LR_N_N,164.818,,,,,,,,,,478.906,5.661020153,1.905665643,
14,c3,TF_N_N,215.119,,,,,,,,,,625.232,5.901003645,1.906447129,
6,b3,LR_N_N,245.847,,,,,,,,,,714.656,6.021330369,1.90691365,
1,d2,LR_N_N,175.605,,,,,,,,,,510.991,5.719528262,1.909888671,
38,c5,W_N_N,183.494,,,,,,,,,,534.06,5.759289995,1.910503886,
1,c1,LR_Y_ODR,272.504,,,,,,,,,,798.1,6.121468574,1.928764348,
37,a1,LR_Y_KF,254.863,,,,,,,,,,746.557,6.061399356,1.929248263,
10,b3,DR_Y_H,263.557,,,,,,,,,,773.904,6.094020869,1.936381883,
19,b4,LR_Y_H,252.287,,,,,,,,,,754.4,6.072865998,1.990245237,
3,c5,LR_N_N,134.872,,,,,,,,,,403.857,5.510628237,1.994372442,
38,c3,M_N_N,192.464,,,,,,,,,,583.487,5.84303126,2.03166826,
19,c3,LR_N_N,169.579,,,,,,,,,,514.418,5.729704275,2.03350061,
21,b4,UM_Y_N,270.71,,,,,,,,,,823.147,6.153029986,2.040696686,
6,b5,DR_Y_N,182.459,,,,,,,,,,555.036,5.798380427,2.041976554,
28,d4,W_N_N,250.125,,,,,,,,,,761.277,6.082801207,2.043586207,
19,c6,M_N_N,167.716,,,,,,,,,,512.992,5.728033043,2.05869446,
10,c2,TF_N_N,200.905,,,,,,,,,,617.987,5.896184206,2.076016027,
28,c4,W_N_H,235.382,,,,,,,,,,724.615,6.039519507,2.078463944,
33,c5,UM_N_N,136.275,,,,,,,,,,419.842,5.54841096,2.080843882,
13,c5,DR_Y_KF,276.69,,,,,,,,,,853.346,6.186875318,2.084123026,
16,a1,W_N_N,216.982,,,,,,,,,,669.392,5.968388398,2.08501166,
33,c3,LR_N_N,160.494,,,,,,,,,,496.455,5.699667189,2.093293207,
12,c2,W_Y_H,179.331,,,,,,,,,,555.174,5.800358252,2.095806079,
1,c2,LR_N_ODR,186.047,,,,,,,,,,577.484,5.836080803,2.103968352,
12,b1,W_N_N,264.27,,,,,,,,,,820.387,6.152079049,2.10435161,
12,b2,W_Y_N,292.077,,,,,,,,,,908.132,6.243687996,2.109221199,
21,b2,W_N_N,192.004,,,,,,,,,,597.655,5.867262044,2.11272161,
31,c2,DR_N_ODR,197.041,,,,,,,,,,615.02,5.893313605,2.121279328,
19,b2,DR_N_H,282.394,,,,,,,,,,881.452,6.217240222,2.12135527,
24,c4,LR_N_N,199.778,,,,,,,,,,626.98,5.911193967,2.138383606,
5,b5,UM_N_N,154.583,,,,,,,,,,486.151,5.682446158,2.144918911,
36,c5,W_N_ODR,279.082,,,,,,,,,,884.925,6.222352331,2.170842261,
27,c3,M_N_ODR,192.257,,,,,,,,,,612.099,5.891010732,2.183754038,
19,b1,DR_Y_H,228.896,,,,,,,,,,729.33,6.048799529,2.186294212,
16,b5,TF_Y_ODR,124.43,,,,,,,,,,396.773,5.500989998,2.188724584,
