Plate,Well,treatment,Genotype,Microbe,Cyano,12-Jul-24,Jul12NumericGerm,,15-Jul-24,jul15NumericGerm,15JulQualitativenotes,Jul15HealthScore
9,B2,W_Y_ODR,W,H,N,3 germinated; long roots ,3,,1 grew; dead,1,dead,1
11,C3,UM_Y_H,DR,ODR,N,3 germinated,3,,1 grew; dead,1,dead,1
11,C5,UM_N_H,LR,ODR,Y,3 germinated; long roots,3,,2 grew; dead,2,dead,1
11,B2,LR_Y_N,UM,KF,N,3 germinated,3,,death ,3,dead,1
11,D3,LR_N_N,DR,N,N,2 germinated,2,,no growth ,2,dead,1
12,B3,TF_N_ODR,TF,N,N,3 germinated,3,,3 grew; dead,3,dead,1
13,B4,M_N_N,M,H,N,3 germinated; long roots,3,,3 died,3,dead,1
16,B5,W_N_N,TF,ODR,Y,1 germinated; small root,1,,1 grew; dead,1,dead,1
C2,D4,control,control,control,control,2 germinated; long roots ,2,,2 grew; dead,2,dead,1
C3,C4,control,control,control,control,2 germinated,2,,2 grew; dead,2,dead,1
15,D2,DR_N_KF,M,N,Y,3 germinated,3,,3 grew; 1 poor health 2 dead,3,1 poor health 2 dead,1
C2,B5,control,control,control,control,2 germinated; long roots,2,,3 grew; 2 poor health 1 dead,3,2 poor health 1 dead,2
3,C2,LR_Y_KF,M,N,N,3 germinated,3,,3 grew; poor health ,3,poor health ,2
4,A3,W_N_ODR,W,H,N,"3 germianted, long roots",3,,3 grew; poor health ,3,poor health ,2
4,B2,W_Y_ODR,TF,KF,N,"3 germinated, long roots",3,,3 grew; poor health ,3,poor health ,2
4,B6,DR_Y_ODR,DR,KF,N,"3 germinated, long roots",3,,3 grew; poor health ,3,poor health ,2
5,B4,TF_Y_ODR,W,N,N,3 germinated; long roots,3,,3 grew; poor health,3,poor health,2
5,B5,TF_N_ODR,UM,N,N,3 germinated; long roots,3,,3 grew; poor health,3,poor health,2
5,B6,W_Y_ODR,UM,N,Y,3 germinated; long roots,3,,3 grew; poor health,3,poor health,2
5,C4,W_N_ODR,W,KF,N,3 germinated; long roots,3,,3 grew; poor health,3,poor health,2
5,C5,UM_N_ODR,UM,KF,N,3 germinated; long roots,3,,3 grew; poor health,3,poor health,2
5,C6,UM_Y_ODR,UM,KF,Y,3 germinated; long roots,3,,3 grew; poor health,3,poor health,2
6,C1,DR_N_ODR,M,KF,Y,3 germinated,3,,3 grew; poor health,3,poor health,2
7,C4,M_Y_ODR,UM,H,Y,3 germinated; long roots ,3,,3 grew; poor health,3,poor health,2
8,B4,TF_N_N,DR,ODR,N,1 germinated,1,,1 grew; poor health,1,poor health,2
8,A4,DR_Y_ODR,DR,N,N,3 germinated,3,,2 grew; poor health,2,poor health,2
9,A5,LR_N_ODR,LR,ODR,N,2 germinated; long roots,2,,3 grew; poor health,3,poor health,2
9,A6,LR_N_N,LR,ODR,Y,3 germianted; long roots,3,,3 grew; poor health,3,poor health,2
9,C3,LR_Y_N,UM,KF,Y,3 germinated; long roots ,3,,3 grew poor health,3,poor health,2
10,B3,TF_Y_ODR,DR,H,Y,2 germinated; long roots,2,,2 grew ; poor health,2,poor health,2
10,A3,TF_N_KF,DR,ODR,Y,3 germinated; long roots,3,,3 grew ; poor health,3,poor health,2
