sample,mc_ppb,wet_weight,water_added,ng_g_let,date
MP-1-1-L,0.330122281,0.3045,300,0.325243627,2
MP-1-2-L,0.249079597,0.3079,300,0.242688792,2
MP-1-3-L,0.209855181,0.3041,300,0.207025828,2
MP-1-4-L,0.253914523,0.3016,300,0.252567496,2
MP-1-5-L,0.519313937,0.3055,300,0.509964586,2
ODR-2-1-L,0.277207076,0.2989,300,0.278227243,1
ODR-2-2-L,0.286632207,0.305,300,0.281933318,1
ODR-2-3-L,0.315552719,0.3072,300,0.308156952,1
ODR-2-4-L,0.315552719,0.2966,300,0.319169979,1
ODR-2-5-L,0.335126786,0.3017,300,0.333238434,1
ODR-3-1-L,0.303396198,0.3123,300,0.291446876,1
ODR-3-2-L,0.27930034,0.2955,300,0.283553645,1
ODR-3-3-L,0.437899589,0.3065,300,0.428612975,1
ODR-3-4-L,0.329570859,0.3013,300,0.32814888,1
ODR-3-5-L,0.342489751,0.3051,300,0.33676475,1
TF-1-1-L,0.474486824,0.3016,300,0.471969652,2
TF-1-2-L,0.180089176,0.302,300,0.178896532,2
TF-1-4-L,0.347391243,0.3067,300,0.339802324,2
TF-1-5-L,0.233943988,0.2996,300,0.23425633,2
TF-2-1-L,0.216990325,0.3077,300,0.211560278,2
TF-2-2-L,0.234923776,0.298,300,0.236500446,2
TF-2-3-L,0.218628877,0.3101,300,0.211508104,3
TF-2-4-L,0.170708258,0.3043,300,0.168296015,2
TF-2-5-L,0.594347712,0.3021,300,0.590216199,2
UM-1-1-L,0.335126786,0.308,300,0.326422194,1
UM-1-2-L,0.290248671,0.292,300,0.29820069,1
UM-1-3-L,0.196874668,0.2995,300,0.197203341,1
UM-1-4-L,0.323295318,0.3067,300,0.316232786,1
UM-1-5-L,0.325736606,0.3097,300,0.31553433,1
cntr-1-1-L,0.292684962,0.303,300,0.289787091,1
cntr-1-2-L,0.202685722,0.305,300,0.199363005,1
cntr-1-3-L,0.335126786,0.3088,300,0.32557654,1
cntr-1-4-L,0.394454967,0.2968,300,0.398707851,1
cntr-1-5-L,0.398098568,0.3,300,0.398098568,1
cntr-1-6-L,0.296377794,0.295,300,0.301401147,2
cntr-1-7-L,0.338505199,0.3104,300,0.32716353,2
cntr-1-8-L,0.413012653,0.2907,300,0.426225648,2
cntr-1-9-L,0.281880251,0.2932,300,0.28841772,2
cntr-1-10-L,0.302130834,0.3048,300,0.297372868,2
fert-1-1-L,0.278600835,0.3068,300,0.272425849,1
fert-1-2-L,0.248663545,0.3001,300,0.248580684,1
fert-1-3-L,0.254764909,0.308,300,0.248147639,1
fert-1-4-L,0.243317688,0.309,300,0.236230765,1
fert-1-5-L,0.287111786,0.3014,300,0.285778155,1
fert-1-6-L,0.22530775,0.3086,300,0.219028921,2
fert-1-7-L,0.213392934,0.303,300,0.211280132,2
fert-1-8-L,0.247626452,0.3088,300,0.24056974,2
fert-1-9-L,0.231802814,0.31,300,0.224325304,2
fert-1-10-L,0.241696047,0.3053,300,0.23750021,2
