sample,vol_approx,mass_approx,ppb,dw_mass,ng_g
MP-1-1-N,150,1350,0.235275989,1.2376,0.028515997
MP-1-2-N,500,1000,0.167751771,0.8397,0.099887919
MP-1-3-N,350,1150,0.181970093,1.0439,0.061011143
MP-1-4-N,350,1150,0.271217188,1.1804,0.080418516
MP-1-5-N,150,1350,0.203399699,1.3923,0.021913348
ODR-2-1-N,500,750,0.250454106,0.7307,0.171379571
ODR-2-2-N,500,1000,0.241605765,0.8082,0.14947152
ODR-2-3-N,500,1000,0.239956153,0.7569,0.158512454
ODR-2-4-N,500,1000,0.221966118,0.8083,0.137304292
ODR-2-5-N,500,750,0.225414237,0.6914,0.163012899
ODR-3-1-N,500,750,0.215227309,0.7162,0.150256429
ODR-3-2-N,350,750,0.210668326,0.7717,0.095547381
ODR-3-3-N,200,800,0.253041212,0.8552,0.059177084
ODR-3-4-N,500,750,0.237299521,0.748,0.158622674
ODR-3-5-N,250,1250,0.2204506,1.1769,0.04682866
TF-1-1-N,750,500,0.155441064,0.4707,0.247675373
TF-1-2-N,500,750,0.224835853,0.6943,0.161915493
TF-1-3-N,750,750,0.211935018,0.7075,0.224666097
TF-1-4-N,500,600,0.217823299,0.6751,0.161326691
TF-1-5-N,750,750,0.202877802,0.7673,0.198303599
TF-2-1-N,500,500,0.265472217,0.4111,0.322880341
TF-2-2-N,150,750,0.406317898,0.6938,0.087846187
TF-2-3-N,500,500,0.321610593,0.6597,0.243755186
TF-2-4-N,150,750,0.078347567,0.7127,0.016489596
TF-2-5-N,150,1350,0.249170489,1.1403,0.032776965
UM-1-1-N,150,1350,0.443406784,1.2801,0.051957673
UM-1-2-N,200,1300,0.404581785,1.1946,0.067735105
UM-1-3-N,500,1000,0.707133846,0.9615,0.367724309
UM-1-4-N,200,1200,0.576250715,1.0475,0.110024003
UM-1-5-N,200,1300,0.486373906,1.2496,0.077844735
