sample,vol_approx,mass_approx,ppb,dw_mass,ng_g
MP-1-1-PP,500,1000,0.264111629,0.9194,0.143632602
MP-1-2-PP,500,1000,0.381040865,0.9708,0.196250961
MP-1-3-PP,500,1000,0.364132559,1.0102,0.180227955
MP-1-4-PP,500,1000,0.342945211,0.8132,0.210861541
MP-1-5-PP,500,1000,0.238317804,0.9019,0.13211986
ODR-2-1-PP,500,750,0.421559364,0.6436,0.32750106
ODR-2-2-PP,500,1000,0.340895498,0.8262,0.206303254
ODR-2-3-PP,500,750,0.210668326,0.7419,0.141978923
ODR-2-4-PP,500,1000,0.158126357,0.8078,0.097874695
ODR-2-5-PP,500,1000,0.393644979,0.8636,0.227909321
ODR-3-1-PP,750,750,0.286497231,0.795,0.270280406
ODR-3-2-PP,250,1250,0.239135575,1.1746,0.050897236
ODR-3-3-PP,150,1350,0.21800992,1.3451,0.024311566
ODR-3-4-PP,250,1250,0.356724803,1.03,0.08658369
ODR-3-5-PP,150,1350,0.142927922,1.2193,0.017583194
TF-1-1-PP,500,1000,0.180727655,0.9125,0.099028852
TF-1-2-PP,500,1000,0.119607006,0.824,0.072577066
TF-1-3-PP,750,750,0.300571809,0.6628,0.340115958
TF-1-4-PP,500,1000,0.19722456,0.9638,0.102316124
TF-1-PP,750,750,0.193046914,0.7169,0.201960086
TF-2-1-PP,400,1100,0.214307688,0.8747,0.09800283
TF-2-2-PP,500,750,0.202184021,0.6175,0.163711758
TF-2-3-PP,200,800,0.210307806,0.8323,0.050536539
TF-2-4-PP,150,1350,0.210127778,1.0481,0.030072671
TF-2-5-PP,150,1350,0.050926882,1.0379,0.007360085
UM-1-1-PP,150,1350,0.444928305,1.1341,0.058847761
UM-1-2-PP,150,1350,0.486373906,0.9458,0.077136906
UM-1-3-PP,150,1350,1.084157434,0.9875,0.164682142
UM-1-4-PP,150,1350,0.570847757,1.0385,0.082452733
UM-1-5-PP,150,1350,0.921354039,1.2173,0.113532495
