sample,date,height_cm,width_cm,mass_g
ODR-2-1,1,10,16,25.88
ODR-2-2,1,10.5,16,22.74
ODR-2-3,1,9.5,16.5,30.29
ODR-2-4,1,10.5,16.5,22.03
ODR-2-5,1,8.5,14.5,24.04
ODR-3-1,1,10,17,25.61
ODR-3-2,1,10.5,16.5,26
ODR-3-3,1,11.5,17.5,29.76
ODR-3-4,1,10.75,17.5,31.26
ODR-3-5,1,9.5,17,24.56
UM-1-1,1,10,16,26.1
UM-1-2,1,10.5,15,28.69
UM-1-3,1,9,14.5,17.36
UM-1-4,1,10.5,17.5,29.36
UM-1-5,1,10,16.5,26.03
CNTR-1,1,7,12,10.63
CNTR-2,1,8,12,9.5
CNTR-3,1,9.5,15,23.08
CNTR-4,1,8,13,11.81
CNTR-5,1,11,15.6,18.16
TF-1-1,2,7.5,15.5,16.74
TF-1-2,2,11.5,16,26.83
TF-1-3,2,,,
TF-1-4,2,10,17,22.53
TF-1-5,2,11,17,29.64
TF-2-1,2,12,17,35.82
TF-2-2,2,11,16.5,28.11
TF-2-3,2,9.5,19.5,28.81
TF-2-4,2,7,12,14.52
TF-2-5,2,10.5,16,21.25
MP-1-1,2,6,10.5,8.54
MP-1-2,2,12,18,33.44
MP-1-3,2,12,18,32.8
MP-1-4,2,10.5,18.5,30.57
MP-1-5,2,10.5,17,25.85
CNTR-6,2,8,16,19.59
CNTR-7,2,10,17.5,26.08
CNTR-8,2,9.5,15.5,19.6
CNTR-9,2,7.5,13,13.13
CNTR-10,2,8,14,18.02
FERT-1,1,15.5,26,201.07
FERT-2,1,16,26.5,192.33
FERT-3,1,12,24.5,164.19
FERT-4,1,12,26.5,177.59
FERT-5,1,15.5,26,183.91
FERT-6,2,12,22,182.63
FERT-7,2,13,24,182.44
FERT-8,2,15,23,170.8
FERT-9,2,13.5,25,145.63
FERT-10,2,15,26,181.58
